book_seq,author_nm,author_cd,page,foreign_yn,masterpiece_1,masterpiece_2,masterpiece_3,prestigious emblem_1,prestigious emblem_2,prestigious emblem_3,prestigious emblem_4,prestigious emblem_5,explain_1,explain_2,lifetime,country
1,조지 오웰,GO,668,1,1984,교수형,나는 왜 쓰는가,"과거를 지배하는 사람이 미래를 지배하고, 현재를 지배하는 사람이 과거를 지배한다",명확한 언어의 거대한 적은 위선이다. 사람은 진짜 목적과 겉으로 말하는 목적이 다르면 오징어가 먹물을 뿜어내 듯 본능적으로 긴 단어와 낡아빠진 관용구에 기대게 된다. ,모든 동물이 평등하다. 그러나 어떤 동물은 다른 동물보다 더 평등하다. ,"자유가 무엇인가를 뜻한다면, 사람들이 듣기 싫어하는 것을 말할 수 있는 권리이다. ","농담의 목적은 사람을 격하시키는 것이 아니라, 사람은 이미 격하돼 있다는 것을 깨닫게 하는 것이다. ","조지 오웰은 코로나 사태 이후 내외신에서 가장 많이 언급되고 있는 고전 작가로, 대표작 『1984』에서 감시 권력을 뜻하는 ‘빅 브라더’라는 용어는 조지 오웰의 발명품이라고 할 수 있다.", ,1903~1950,인도
2,버지니아 울프,BW,464,1,자기만의 방,런던 거리 헤매기,유산,서두를 필요도 반짝반짝 빛날 필요도 없어요. 당신 자신이 아닌 그 누구도 될 필요 없어요,"잘 먹지 않은 사람은 잘 생각할 수도, 잘 사랑할 수도, 잘 잘 수도 없다.",여성에게는 일 년에 500파운드의 돈과 자기만의 방이 필요하다.,"당신의 서재들을 걸어 잠그고 싶으면 마음대로 하라. 그러나 내 마음의 자유에 당신이 걸어버릴 수 있는 문, 자물쇠 빗장은 아무것도 없다.",성장은 일부의 환상을 잃어버리는 것이다. 다른 환상을 획득하기 위해.,‘버지니아 울프’는 1970년대 이후 여성 문학 비평의 중심이자 오늘날 하나의 문화적 아이콘이 된 작가다. ,"오늘날 버지니아 울프를 읽는 것은, 그 누구도 아닌 ‘자기 자신’으로 살아가고자 하는 독자들에게 가장 효과적인 케이스스터디가 될 것이다.",1882~1941,영국
3,다자이 오사무,DO,296,1,인간 실격,6월 19일,비용의 아내,부끄럼 많은 생애를 보냈습니다. 저는 인간의 삶이라는 것을 도무지 이해할 수 없습니다.,"내겐 서로 속이면서도 결백하고 명랑하게 살고 있는, 혹은 그렇게 살 수 있다고 자신하는 듯 보이는 인간들 자체가 풀리지 않는 수수께끼입니다.",겁쟁이는 행복조차 두려워하는 법입니다. 행복에 상처 입을 수도 있는 겁니다.,이제 내겐 행복도 불행도 없습니다. 그저 모든 것은 스쳐 지나갑니다.,신께 묻습니다. 무저항은 죄인가요? 신께 묻습니다. 순진한 신뢰는 죄입니까?,‘다자이 오사무’는 일본 데카당스 문학의 대표 작가로 지난 이삼 년 간 우리 독자들에게 가장 많은 사랑을 받은 고전 작가이기도 하다. ,"오늘날 독자들은 청년 세대의 절망을 적시하는 다자이 오사무의 예리한 필력을 통해 어설픈 위로, 형식적인 공감 대신 누군가 ‘대신 울어 주는’ 듯한 독특한 독서 체험을 하게 될 것이다",1909~1948,일본
4,어니스트 헤밍웨이,EH,416,1,노인과 바다,킬리만자로의 눈,깨끗하고 밝은 곳,"누군가를 신뢰할 수 있는지 알아내는 가장 좋은 방법은, 그들을 신뢰하는 것입니다.",사람은 패배하기 위해 만들어지지 않았다. 사람은 파괴될 수는 있어도 패배하지는 않는다.,"내가 알기로는, 지적인 사람들에게 있어서, 행복이란 가장 드문 것이다.",작가의 일이란 판단하는 것이 아니라 이해하려는 것이다.,용기는 압박 아래에서의 품위다.,"하드보일드한 문체로 미국 문학의 새로운 경지를 개척한 어니스트 헤밍웨이. 삶에는 언제나 고독과 허무가 심연처럼 자리하지만 이를 극복하여 인간과 자연을 긍정하고, 진정한 연대의 가치를 깨달아야 한다는 메시지를 오늘의 독자들에게 전한다.", ,1899~1961,미국
5,헤르만 헤세,HH,484,1,데미안,룰루,밤의 유희들,내가 만약 사랑이 무엇인지 안다면 그것은 당신 때문이오.,새는 알에서 깨어나려고 한다. 알은 새의 세계이다. 태어나려고 하는 자는 한 개의 세계를 깨뜨리지 않으면 안 된다. ,인생에 주어진 의무는 다른 아무것도 없다네. 그저 행복하라는 한 가지 의무뿐.,난 내 참된 자아가 일러주는 말들에 맞추어 살아보고만 싶었다. 왜 그건 그다지도 어려웠을까?,행복은 '무엇'이 아니라 '어떻게의 문제다. 행복은 대상이 아니라 재능이다.,노벨상 수상자이자 독일 문학의 거장 헤르만 헤세에게 소설은 진정한 자기 자신을 찾아가는 과정이자 구도의 일환이다. ,내 속에서 솟아 나오는’ 무엇을 발견하기 위한 길목이라면 헤세를 읽기를 권한다.,1877~1962,독일
6,김수영,KSY,476,0,풀,폭포,시인의 정신은 미지,한 없이 풀어지는 피곤한 마음에도 너는 결코 서둘지 말라.,풍경이 풍경을 반성하지 않는 것처럼 절망은 끝까지 그 자신을 반성하지 않는다.,시는 온몸으로 바로 온몸으로 밀고 나가는 것이다. 그것은 그림자를 의식하지 않는다.,모든 살아 있는 문화는 본질적으로 불온한 것이다. 그것은 두말할 것도 없이 문화의 본질이 꿈을 추구하는 것이고 불가능을 추구하는 것이기 때문이다.,왜 나는 조그마한 일에만 분개하는가,"한국인이 사랑하는 시인, 김수영은 소시민의 일상을 통해 비겁한 자신을 질책하는 한편, 눈에 보이지 않는 적과 맞서기 위해 이를 악무는 시인이다.","정신적 나태에 빠지지 않기 위해 끊임없이 전선을 확인하는 냉철함과, 냉철함에서 비롯되는 긴장감을 일상적 소재에서 발견하는 독창적인 시인이기도 하다.",1921~1968,한국
7,알베르 카뮈,AC,500,1,이방인,결혼,여름,삶에서 절망을 경험하지 않고는 삶을 사랑할 수 없다.,행복이란 무엇인가를 찾아 해맨다면 당신은 절대 행복할 수 없을 것이다. 그리고 삶의 의미를 찾아 해맨다면 당신은 절대 삶을 살지 못할 것이다.,"어느 추운 겨울날, 나는 드디어 내 안에 아무도 꺾을 수 없는 여름이 있다는 것을 알게 되었다.",당신은 왜 자살하지 않는가?,나는 내게 맡겨진 이 삶을 사랑한다. 이 삶의 이야기를 자유롭게 해보고 싶다. ,"삶과 죽음과 연대를 성찰하고, 시대의 부조리에 맞서 싸워 온 우리 시대 거인, 지금도 전 세계 독자의 지지와 공감 속에서 뜨거운 사랑을 받고 있는 알베르 카뮈.","시대의 부조리와 관습에 꺾이지 않는 정신, 어떤 상황에서도 자신의 실존을 바라보며 포기하지 않는 개인, 폐허가 된 상황에서도 이웃의 아픔을 외면하지 않는 의인",1913~1960,알제리
8,한강,HG,364,0,희랍어 시간,회복하는 인간,파란 돌 ,새벽에 눈을 뜨기 전에 이미 당신의 얼굴은 내 눈꺼풀 안에 들어와 있었습니다.,"네가 죽은 뒤 장례식을 치르지 못해, 내 삶이 장례식이 되었다.","어느 날 운명이 찾아와 나에게 말을 붙이고 내가 네 운명이란다, 그동안 내가 마음에 들었니, 라고 묻는다면 나는 조용히 그를 끌어안고 오래 있을 거야","어떤 종류의 슬픔은 물기 없이 단단해서, 어떤 칼로도 연마되지 않는 원석(原石)과 같다.",그러나 희망은 병균 같았다.,"한강 작가는 1993년 등단 후 30년 가까이 문학이 삶에 제기하는 근본적인 물음─인간은 어떻게 서로를 믿고 사랑하는가, 세상은 왜 이토록 아름다우며 동시에 잔인한가, 상실과 고통 앞에 인간은 무엇을 할 수 있나─을 정면으로 마주한 작품을 다양한 장르로 써왔다.",‘상실의 고통을 안고 사는 이들이 마주한 한줄기 빛’이라는 한강 소설의 미학이 응축된 작품들이다.,1970~,한국
11,스콧 피츠제럴드,SF,656,1,위대한 개츠비,벤저민 버튼의 기이한 사건,,나는 내 삶을 살고 싶다. 그래서 나의 밤은 후회로 가득하다.,"그는 인생에서 희망을 감지하는 고도로 발달된 촉수를 갖고 있었다. 희망, 그 낭만적 인생관이야말로 그가 가진 탁월한 천부적 재능이었다.",이 세상에는 온갖 종류의 사랑이 있건만 똑같은 사랑은 두 번 다시 없을 것이다.,최고 수준의 지성을 판단하는 기준은 동시에 상반된 생각을 하면서도 흔들리지 않는 능력이다.,한번의 패배를 마지막 패배로 혼동하지 마라.,20세기 가장 위대한 미국 소설로 손꼽히는 『위대한 개츠비』의 작가이자 뉴욕 사교계의 명사로 1920년대 재즈 시대를 대표하는 아이콘이기도 한 피츠제럴드.,"화려한 수식어의 이면에는 항상 경제적으로 절박해 150여 편의 단편을 써야 했던 작가, 아내 젤더와 숱한 파경을 반복하는 남편, 헤밍웨이와의 애증 섞인 우정 을 나눴던 선배 등의 다양한 모습이 존재한다.",1896~1940,미국
16,김연수,KYS,516,0,다시 한 달을 가서 설산을 넘으면,깊은 밤,강화에 대하여,사랑을 증명할 수만 있다면 불행해지는 것쯤이야 두렵지가 않아서.,"파도가 바다의 일이라면, 너를 생각하는 건 나의 일이었다.",글쎄 난 세상은 점점 좋아진다고 생각해. 지금 슬퍼서 우는 사람에게도 우리는 모든 걸 이야기로 만들 수 있으니까.,아무것도 나아지지 않을 것 같은 때가 찾아와. 그럴 때가 바로 어쩔 수 없이 낙관주의자가 되어야 할 순간이지.,"그렇다면 도대체 우리가 왜 헤어진 것인지, 도무지 이해가 되지 않는 그 말. 당신은 좋은 여자야.","등단 이후 독자와 평론가, 동료 작가의 폭넓은 사랑을 받아온 김연수 작가는 9년 만에 발표한 소설집 『이토록 평범한 미래』가‘교보문고 특별기획 소설가 50인이 뽑은 올해의 소설 1위’에 선정되고 김만중문학상대상을 수상하는 등 다시 한번 큰 주목을받고 있다.", ,1970~,한국